By	en	ADP
the	en	DET
way	en	NOUN
when	en	PRON_WH
are	en	VERB
we	en	PRON
planning	en	VERB
to	en	PART
call	en	VERB
in	en	ADP
the	en	DET
Pakistani	rest	ADJ
investigation	en	NOUN
team	en	NOUN
to	en	ADP
Uri	rest	PROPN
to	en	PART
hand	en	VERB
over	en	PART
the	en	DET
evidence	en	NOUN
#UriAttack	rest	X

RT	rest	X
@amaresh2410	rest	X
:	rest	X
#UriAttack	rest	X
It's	en	VERB
time	en	NOUN
to	en	PART
make	en	VERB
the	en	DET
rogue	en	ADJ
nation	en	NOUN
sanctioned	en	VERB
&	rest	CONJ
isolated	en	VERB
by	en	ADP
all	en	DET
the	en	DET
countries	en	NOUN
.	rest	X
Auqaad	hi	NOUN
dikhana	hi	VERB
zaroori	hi	VERB
hai	hi	VERB
.	rest	X

RT	rest	X
@DeccanGypsy	rest	X
:	rest	X
Maroof	rest	PROPN
Raza	rest	PROPN
is	en	VERB
a	en	DET
true	en	ADJ
strategist	en	NOUN
.	rest	X
He	en	PRON
needs	en	VERB
to	en	PART
be	en	VERB
consulted	en	VERB
by	en	ADP
the	en	DET
Indian	rest	ADJ
government	en	NOUN
.	rest	X
@PMOIndia	rest	X
@TimesNow	rest	X
#UriAttack	rest	X

RT	rest	X
@VikasSaraswat	rest	X
:	rest	X
#UriAttack	rest	X
has	en	VERB
hit	en	VERB
raw	en	ADJ
nerve	en	NOUN
.	rest	X
Veer	hi	ADJ
sapooton	hi	NOUN
ka	hi	ADP
balidan	hi	NOUN
yaad	hi	VERB
rakhega	hi	VERB
Hindustan	rest	PROPN
,	rest	X
Pak	rest	PROPN
Murdabad	hi	VERB
reverberates	en	VERB
Kalimpong	rest	PROPN
air	en	NOUN
htt	rest	X

@SirJadejaaaa	rest	X
@BDUTT	rest	X
bura	hi	VERB
man	hi	VERB
jayegi	hi	VERB
.	rest	X
Hafeez	rest	PROPN
ko	hi	ADP
kuch	hi	DET
kaha	hi	VERB
to	hi	PART
#UriAttack	rest	X

RT	rest	X
@ANI_news	rest	X
:	rest	X
Delhi	rest	PROPN
:	rest	X
Army	en	NOUN
,	rest	X
Navy	en	NOUN
and	en	CONJ
Air	en	PROPN
Force	en	PROPN
Chiefs	en	NOUN
of	en	ADP
Staff	en	NOUN
leave	en	VERB
after	en	ADP
meeting	en	VERB
PM	rest	PROPN
Narendra	rest	PROPN
Modi	rest	PROPN
at	en	ADP
7	rest	NUM
Lok	rest	PROPN
Kalyan	rest	PROPN
Marg	rest	PROPN
#UriAttack	rest	X

RT	rest	X
@NewsNationTV	rest	X
:	rest	X
US	rest	PROPN
strongly	en	ADV
condemns	en	VERB
#UriAttack	rest	X
.	rest	X
Our	en	PRON
thoughts	en	NOUN
are	en	VERB
with	en	ADP
families	en	NOUN
of	en	ADP
soldiers	en	NOUN
who	en	PRON
lost	en	VERB
their	en	PRON
lives	en	NOUN
:	rest	X
US	rest	PROPN
ambassador	en	NOUN
to	en	ADP
India	rest	PROPN

RT	rest	X
@DrShobha	rest	X
:	rest	X
Beech	hi	ADP
mein	hi	ADP
pariksha	hi	NOUN
chhod	hi	VERB
dene	hi	VERB
se	hi	ADP
papa	hi	NOUN
ki	hi	ADP
atma	hi	NOUN
ko	hi	ADP
dukh	hi	VERB
hota	hi	VERB
.	rest	X

RT	rest	X
@1981_jain	rest	X
:	rest	X
When	en	ADV
whole	en	ADJ
nation	en	NOUN
is	en	VERB
in	en	ADP
mourning	en	NOUN
,	rest	X
no	en	PART_NEG
comments	en	NOUN
from	en	ADP
the	en	DET
likes	en	NOUN
of	en	ADP
Umar	rest	PROPN
Khaled	rest	PROPN
,	rest	X
Kavita	rest	PROPN
Krishnan	rest	PROPN
&	rest	CONJ
Kanhaiya	rest	PROPN
Kumar	rest	PROPN
on	en	ADP
#UriAttack	rest	X

RT	rest	X
@AbhijnanRej	rest	X
:	rest	X
Enough	en	ADJ
is	en	VERB
enough	en	ADJ
.	rest	X
If	en	CONJ
there	en	DET
was	en	VERB
ever	en	ADV
a	en	DET
mil	en	X
plan	en	NOUN
,	rest	X
now	en	ADV
is	en	VERB
the	en	DET
time	en	NOUN
to	en	PART
put	en	VERB
it	en	PRON
in	en	ADP
action	en	NOUN
.	rest	X
#UriAttack	rest	X

RT	rest	X
@rajatpTOI	rest	X
:	rest	X
#UriAttack	rest	X
DGMO	rest	PROPN
Lt-Gen	rest	PROPN
Ranbir	rest	PROPN
Singh	rest	PROPN
says	en	VERB
terrorists	en	NOUN
were	en	VERB
from	en	ADP
PaK-based	rest	ADJ
Jaish-e-Muhammed	rest	PROPN
.	rest	X
Talked	en	VERB
to	en	ADP
PaK	rest	PROPN
DGMO	rest	PROPN
to	en	PART
convey	en	VERB
serio	en	X

RT	rest	X
@laxman_xy	rest	X
